story_id,story_name,culture,region,primary_source,source_type,story_type,overall_confidence,source_caution,notes,include_in_core_analysis,analysis_group,recommended_first_visual,score_notes,present_motif_score,uncertain_or_partial_count,core_survivor_package_score,expanded_flood_catastrophe_score,moral_cause,noise_or_overpopulation_cause,failed_creation_cause,primordial_or_cosmic_disorder,world_age_cycle,divine_decision_to_flood_or_destroy,council_or_multiple_deities,flood_as_natural_or_sea_overflow,blood_flood,flood_control_governance_problem,chosen_survivor_or_group,survivor_righteous_pious_religious,survivor_is_king_priest_ruler,survivor_couple,family_or_household_saved,animal_or_supernatural_helper_warning,divine_or_supernatural_warning,warning_secret_indirect_wall,dream_warning,specific_warning_timing,boat_or_vessel,non_boat_container_or_tree_chest_vessel,construction_instructions,specific_vessel_dimensions,pitch_or_waterproofing,food_stored_or_rationed,animals_preserved_or_co_survive,civilization_knowledge_or_craftsmen_preserved,mountain_landing_or_refuge,waters_recede_or_subside,storm_or_rain,water_from_above_and_below_or_cosmic_sources,sea_lake_overflow,totalizing_flood_language,regional_flood_language,humanity_destroyed_or_reset,nonhuman_or_giant_population_destroyed,animals_or_objects_rebel,transformation_after_catastrophe,bird_test,post_flood_sacrifice_or_offering,divine_smells_or_accepts_offering,post_flood_offering_misdirected_or_inverted,divine_regret_grief_conflict_after_flood,survivor_reward_or_blessing,covenant_promise_or_rainbow,immortality_or_godlike_reward,new_rules_or_order_after_flood,population_control_after_flood,humanity_restored_after_flood,ritual_recreation_after_flood,stones_bones_blood_or_material_recreation,civilization_restored_after_flood,hydraulic_engineering_or_public_works,animal_body_or_species_origin_motif,source_biblical_influence_caution
FM-001,Genesis Flood / Noah,Israelite-Judahite,Levant,"Genesis 6:9–9:17, NIV",Scriptural narrative,survivor-ark flood,high,Canonical text; strong internal chronology and technical ark details.,"Moral corruption/violence causes flood; Noah receives direct warning, builds ark with pitch and dimensions, preserves family and animals, lands on Ararat, sends birds, sacrifices, and receives covenant/rainbow plus post-flood rules.",yes,biblical_anchor,core_heatmap,Core anchor row for first classic survivor-flood heatmap.,27.0,2,19.0,25.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0
FM-002,Gilgamesh Tablet XI / Utanapishtim,Mesopotamian / Babylonian-Akkadian,Mesopotamia,"Epic of Gilgamesh, Tablet XI",Epic / mythic narrative,secret-warning ark flood,high,Cause is less explicit in Tablet XI; strong parallel cluster with Genesis.,"Ea secretly warns Utanapishtim through a reed wall; he builds a technical pitch/bitumen boat, saves kin, animals, craftsmen, and wealth, survives cosmic storm, lands on Mt. Nimush, sends birds, sacrifices, and receives godlike immortality.",yes,mesopotamian_cluster,core_heatmap,Core Mesopotamian comparison row.,26.0,7,16.5,25.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
FM-003,Atrahasis Flood,Mesopotamian / Akkadian-Babylonian,Mesopotamia,Atrahasis flood account,Epic / mythic narrative,noise-cause survivor flood,medium,Fragmentary sections; several aftermath details coded cautiously.,"Humans are created to serve gods; population/noise disturbs the gods. Enki secretly warns Atrahasis through dream/reed wall, boat is built and sealed with pitch, family and animals survive, gods hunger without offerings, and post-flood order imposes death and fertility limits.",yes,mesopotamian_cluster,core_heatmap,"Core Mesopotamian comparison row; fragmentary, but central to noise-cause cluster.",18.5,10,11.5,17.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
FM-004,Eridu Genesis / Ziusudra,Sumerian / Mesopotamian,Mesopotamia,Eridu Genesis / Ziusudra flood account,Sumerian mythic narrative,king-priest secret-warning flood,medium,Significant lacunae; boat details and some aftermath motifs are fragmentary.,"Ziusudra is a pious king-priest/seer warned indirectly by Enki through a wall. The account includes divine council decision, noise/disturbance cause, boat survival, animal preservation, seven-day flood, sacrifice, Enlil anger, Enki explanation, and godlike life in Dilmun.",yes,mesopotamian_cluster,core_heatmap,"Core Mesopotamian comparison row; fragmentary, but central to Ziusudra/immortality cluster.",20.0,12,10.5,19.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,1.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
FM-005,Deucalion and Pyrrha,Greek / Mediterranean,Greece,"Apollodorus, Library 1.7.2",Mythographic summary,survivor-chest flood,high,Moral cause less developed in Apollodorus than in other Greek versions such as Ovid.,"Prometheus advises Deucalion; Deucalion and Pyrrha survive Zeus's rain-flood in a chest with provisions, drift nine days and nights, land at Parnassus, sacrifice to Zeus, and restore humanity by throwing stones that become men and women.",yes,classic_survivor_flood,core_heatmap,Core non-Mesopotamian survivor-flood comparison row.,19.5,5,12.5,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0
FM-006,Manu and the Fish,Indian / Sanskrit,India,Śatapatha Brāhmaṇa flood account,Ritual prose / mythic narrative,animal-helper ritual-recreation flood,high,Early version; fish not automatically coded as Vishnu/Matsya unless later variants are added separately.,"Manu protects a small fish that grows and warns him of a coming flood. Manu prepares a ship, ties it to the horned fish, is guided to a northern mountain, survives alone, then performs sacrifice that generates a woman/blessing through whom the race of Manu is produced.",yes,classic_survivor_flood,core_heatmap,Core non-Mesopotamian survivor-flood comparison row; early Śatapatha version only.,15.5,6,10.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0
FM-007,Yu Controls the Flood,Chinese,China,"Mencius / Mengzi, Teng Wen Gong I",Philosophical-political myth-history,flood-control civilization-restoration myth,high,Not a survivor-boat flood; it should be interpreted as flood-control and civilization restoration.,"The world is not yet ordered; waters overflow, animals threaten humans, and agriculture fails. Yao appoints Shun, Shun appoints Yi and Yu, Yu channels rivers and waters to the sea, agriculture returns, Hou Ji teaches farming, and Xie teaches human relations.",no,flood_control,expanded_heatmap,Expanded flood-control row; analyze separately from ark-survival package.,8.5,1,1.5,6.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
FM-008,Popol Vuh / Destruction of the Wooden People,K'iche' Maya / Mesoamerican,Mesoamerica,"Popol Vuh, Tedlock excerpt",Creation narrative,failed-creation destruction flood,high,Not a survivor flood; coded as destruction of failed proto-humanity.,"The creators repeatedly attempt to make beings who can speak, remember, and praise them. Wooden people lack heart, mind, and memory, so Heart of Sky devises a flood with resin/black rain, supernatural destroyers, animal and object rebellion, failed refuges, and monkeys as remnants of the failed humanity.",no,failed_creation,expanded_heatmap,Expanded failed-creation/destruction row; not a survivor-vessel flood.,10.0,3,2.5,9.5,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
FM-009,Huarochirí / The Llama Warns of the Flood,Andean / Quechua,"Huarochirí, Peru","Huarochirí Manuscript, Chapter 3",Early colonial Quechua myth manuscript,animal-warning mountain-refuge flood,high,Early colonial Christian frame; family survival and repopulation mechanism are internally ambiguous.,"A male llama foresees the overflow of the Mother Lake/sea, speaks like a human, warns its owner five days in advance, and directs him with food to Huillcacoto mountain. Animals gather there, the waters cover the land, the fox tail is blackened, and humanity continues through the mountain survivor.",caution,animal_warning_mountain_refuge,caution_layer,"Caution row: useful animal-warning/mountain-refuge comparison, but source context and repopulation details need care.",16.0,5,9.0,13.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
FM-010,Nahui Atl / Tata and Nene,Nahua / Aztec-Mexica,Central Mexico,"Codex Chimalpopoca, Leyenda de los Soles",Myth-history / world-age cycle,world-age flood with survivor transformation,high,Spanish translation of Nahuatl manuscript; fine details should be checked against original where possible.,"The Water Sun ends in a cosmic 52-year flood. Titlacahuan warns Tata and Nene to enter a hollowed ahuehuetl tree with maize rations. After waters recede they roast fish, smoke reaches the sky, Tezcatlipoca transforms them into dogs, and present humans are later recreated from underworld bones and divine blood.",no,world_age_flood,expanded_heatmap,Expanded world-age flood row; strong but belongs outside first classic heatmap.,22.0,8,10.5,17.5,0.0,0.0,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,1.0,0.5,0.0,1.0,0.0
FM-011,Bergelmir and the Blood Flood,Norse / Icelandic,Germanic / North Atlantic,"Prose Edda, Gylfaginning; Vafþrúðnismál support",Cosmogonic myth,primordial blood-flood / giant-lineage reset,medium-high,Snorri is a 13th-century Christian Icelandic author; lúðr/vessel terminology is debated.,"Before the ordered world, Odin, Vili, and Vé kill Ymir. His blood floods the rime-giants. Bergelmir survives with wife/household in an ambiguous vessel and becomes ancestor of later giants. Ymir's body becomes earth, sea, mountains, sky, and clouds.",no,primordial_reset,expanded_heatmap,Expanded primordial blood-flood row; not an ordinary deluge or ark story.,11.5,2,4.5,10.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
FM-012,Nuʻu and the Hawaiian Flood,Hawaiian / Polynesian,Hawaiʻi,Fornander Collection Vol. 6; Beckwith Hawaiian Mythology critical notes,Genealogical myth / layered tradition,layered sea-flood with biblicalized ark structure,medium,Strong biblical analogy flagged by Beckwith; older Hawaiian core may emphasize rising sea and Mauna Kea survival more than ark structure.,"Nuʻu appears during the Era of Overturning and survives Kai-a-Kahinaliʻi in a house-vessel with family in the Fornander version. After landing on Mauna Kea, he makes a misdirected offering to the moon; Kāne corrects and forgives him, leaving a rainbow token. Nuʻu becomes second progenitor of present mankind.",caution,biblicalized_or_layered,caution_layer,Caution row due to biblicalized/layered tradition; useful for expanded comparison.,20.5,12,12.0,18.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,1.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,1.0,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
